Body_Type,Sex,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_efficiency,Recycling,Cooking_With,CarbonEmission
overweight,female,pescatarian,daily,coal,public,No Vehicle,often,230,frequently,5.351858133476067,large,4,7,26,1,No,['Metal'],"['Stove', 'Oven']",2238
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,No Vehicle,often,114,rarely,2.302585092994046,extra large,3,9,38,5,No,['Metal'],"['Stove', 'Microwave']",1892
overweight,male,omnivore,more frequently,wood,private,petrol,never,138,never,7.813187267521416,small,1,14,47,6,Sometimes,['Metal'],"['Oven', 'Microwave']",2595
overweight,male,omnivore,twice a day,wood,walk/bicycle,No Vehicle,sometimes,157,rarely,4.31748811353631,medium,3,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074
obese,female,vegetarian,daily,coal,private,diesel,often,266,very frequently,8.730589391275567,large,1,3,5,6,Yes,['Paper'],['Oven'],4743
overweight,male,vegetarian,less frequently,wood,public,No Vehicle,sometimes,144,frequently,6.490723534502507,large,1,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647
underweight,female,vegan,less frequently,wood,private,hybrid,never,56,rarely,8.587465244401569,medium,4,9,11,19,Sometimes,[],"['Grill', 'Airfryer']",1832
underweight,female,vegan,more frequently,coal,walk/bicycle,No Vehicle,sometimes,59,very frequently,4.007333185232471,extra large,3,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322
overweight,male,omnivore,daily,wood,public,No Vehicle,never,200,frequently,7.227662498728655,medium,3,3,31,15,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",2494
underweight,female,pescatarian,daily,wood,public,No Vehicle,often,135,rarely,6.089044875446846,extra large,1,8,23,18,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1178
normal,female,vegetarian,more frequently,wood,public,No Vehicle,never,146,never,7.3537223303996315,extra large,4,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427
obese,male,vegetarian,more frequently,coal,walk/bicycle,No Vehicle,never,111,very frequently,4.248495242049359,medium,5,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226
underweight,female,omnivore,twice a day,coal,walk/bicycle,No Vehicle,often,114,rarely,4.532599493153256,large,3,18,27,4,Yes,['Plastic'],['Stove'],1593
underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,111,rarely,7.970394907191429,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732
obese,male,pescatarian,less frequently,natural gas,public,No Vehicle,often,123,rarely,7.595889917718538,small,6,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743
overweight,female,vegetarian,less frequently,electricity,public,No Vehicle,never,225,very frequently,6.541029999189903,small,6,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101
normal,male,pescatarian,more frequently,electricity,walk/bicycle,No Vehicle,often,219,frequently,2.0794415416798357,extra large,4,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609
overweight,female,pescatarian,daily,wood,public,No Vehicle,often,104,rarely,6.855408798609928,large,6,1,6,22,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1565
underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,8.730589391275567,medium,2,6,37,9,Sometimes,[],['Stove'],5272
normal,female,omnivore,more frequently,wood,walk/bicycle,No Vehicle,often,288,never,3.9512437185814275,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220
normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,7.71333788887187,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300
obese,female,pescatarian,less frequently,wood,public,No Vehicle,never,69,rarely,7.498315870766981,large,1,6,3,7,No,['Metal'],"['Stove', 'Oven', 'Microwave']",1024
overweight,male,omnivore,twice a day,wood,walk/bicycle,No Vehicle,sometimes,110,never,4.454347296253507,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706
obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,6.159095388491933,small,4,17,24,20,Yes,"['Paper', 'Glass']",['Microwave'],2582
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,8.65486599654131,medium,1,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284
obese,female,pescatarian,less frequently,electricity,walk/bicycle,No Vehicle,sometimes,94,rarely,4.48863636973214,medium,6,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807
underweight,female,vegan,daily,electricity,public,No Vehicle,often,259,frequently,6.326149473155099,large,4,4,50,23,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1991
obese,male,vegetarian,less frequently,electricity,public,No Vehicle,sometimes,67,rarely,6.6240652277998935,large,3,14,37,14,Sometimes,['Plastic'],['Stove'],1817
obese,male,pescatarian,daily,wood,walk/bicycle,No Vehicle,never,130,rarely,4.276666119016055,small,2,10,15,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1490
underweight,female,omnivore,less frequently,electricity,public,No Vehicle,never,258,frequently,6.9363427358340495,small,2,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561
obese,female,vegan,more frequently,wood,public,No Vehicle,sometimes,189,frequently,7.331714969726466,medium,4,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202
underweight,female,vegetarian,daily,coal,walk/bicycle,No Vehicle,sometimes,262,frequently,4.48863636973214,large,5,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024
normal,female,pescatarian,daily,natural gas,walk/bicycle,No Vehicle,never,157,frequently,4.304065093204169,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659
